Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
90,0.64,4.97e-11,6.47e-11,1.09e-10,1.04e-11,1.35e-11,1.9e-11,4.56e-11,6.35e-11,9.58e-11,9.22e-10,9.36e-10,9.64e-10
95,0.64,4.93e-11,6.4e-11,1.08e-10,1.03e-11,1.35e-11,1.88e-11,4.49e-11,6.26e-11,9.47e-11,9.15e-10,9.28e-10,9.57e-10
100,0.64,4.88e-11,6.34e-11,1.07e-10,1.03e-11,1.34e-11,1.87e-11,4.43e-11,6.16e-11,9.36e-11,9.07e-10,9.21e-10,9.51e-10
105,0.64,4.84e-11,6.27e-11,1.05e-10,1.02e-11,1.33e-11,1.85e-11,4.37e-11,6.07e-11,9.24e-11,9e-10,9.14e-10,9.44e-10
110,0.64,4.79e-11,6.2e-11,1.04e-10,1.02e-11,1.32e-11,1.84e-11,4.3e-11,5.97e-11,9.13e-11,8.94e-10,9.07e-10,9.38e-10
115,0.64,4.75e-11,6.13e-11,1.02e-10,1.01e-11,1.32e-11,1.82e-11,4.24e-11,5.88e-11,9.01e-11,8.87e-10,9.01e-10,9.32e-10
120,0.64,4.7e-11,6.06e-11,1.01e-10,1.01e-11,1.31e-11,1.8e-11,4.18e-11,5.78e-11,8.89e-11,8.8e-10,8.94e-10,9.25e-10
125,0.64,4.66e-11,6e-11,9.92e-11,1.01e-11,1.3e-11,1.79e-11,4.12e-11,5.69e-11,8.78e-11,8.73e-10,8.87e-10,9.19e-10
130,0.64,4.61e-11,5.93e-11,9.78e-11,1e-11,1.29e-11,1.77e-11,4.06e-11,5.59e-11,8.66e-11,8.66e-10,8.8e-10,9.13e-10
-20,0.66,5.43e-11,7.18e-11,1.29e-10,1.07e-11,1.42e-11,2.06e-11,5.48e-11,7.54e-11,1.05e-10,9.81e-10,9.94e-10,1e-09
-15,0.66,5.4e-11,7.14e-11,1.28e-10,1.07e-11,1.41e-11,2.05e-11,5.42e-11,7.48e-11,1.04e-10,9.75e-10,9.88e-10,9.95e-10
-10,0.66,5.38e-11,7.09e-11,1.26e-10,1.06e-11,1.41e-11,2.03e-11,5.37e-11,7.41e-11,1.03e-10,9.69e-10,9.82e-10,9.9e-10
-5,0.66,5.35e-11,7.04e-11,1.25e-10,1.06e-11,1.4e-11,2.02e-11,5.31e-11,7.34e-11,1.02e-10,9.63e-10,9.76e-10,9.85e-10
0,0.66,5.32e-11,6.99e-11,1.24e-10,1.06e-11,1.39e-11,2.01e-11,5.26e-11,7.27e-11,1.01e-10,9.57e-10,9.7e-10,9.81e-10
5,0.66,5.29e-11,6.94e-11,1.22e-10,1.05e-11,1.39e-11,1.99e-11,5.21e-11,7.19e-11,9.99e-11,9.51e-10,9.64e-10,9.76e-10
10,0.66,5.26e-11,6.89e-11,1.21e-10,1.05e-11,1.38e-11,1.98e-11,5.15e-11,7.12e-11,9.89e-11,9.45e-10,9.58e-10,9.7e-10
15,0.66,5.22e-11,6.83e-11,1.19e-10,1.05e-11,1.38e-11,1.97e-11,5.1e-11,7.04e-11,9.79e-11,9.39e-10,9.52e-10,9.65e-10
20,0.66,5.19e-11,6.78e-11,1.18e-10,1.04e-11,1.37e-11,1.95e-11,5.05e-11,6.96e-11,9.69e-11,9.32e-10,9.45e-10,9.6e-10
25,0.66,5.16e-11,6.73e-11,1.17e-10,1.04e-11,1.36e-11,1.94e-11,4.99e-11,6.89e-11,9.6e-11,9.26e-10,9.39e-10,9.55e-10
30,0.66,5.12e-11,6.68e-11,1.15e-10,1.03e-11,1.36e-11,1.93e-11,4.94e-11,6.81e-11,9.5e-11,9.2e-10,9.33e-10,9.5e-10
35,0.66,5.09e-11,6.62e-11,1.14e-10,1.03e-11,1.35e-11,1.91e-11,4.89e-11,6.73e-11,9.41e-11,9.14e-10,9.27e-10,9.45e-10
40,0.66,5.05e-11,6.57e-11,1.12e-10,1.03e-11,1.34e-11,1.9e-11,4.84e-11,6.66e-11,9.32e-11,9.08e-10,9.21e-10,9.4e-10
45,0.66,5.02e-11,6.51e-11,1.11e-10,1.02e-11,1.34e-11,1.88e-11,4.78e-11,6.58e-11,9.23e-11,9.02e-10,9.15e-10,9.34e-10
50,0.66,4.98e-11,6.46e-11,1.1e-10,1.02e-11,1.33e-11,1.87e-11,4.73e-11,6.51e-11,9.14e-11,8.96e-10,9.09e-10,9.29e-10
55,0.66,4.94e-11,6.4e-11,1.08e-10,1.02e-11,1.33e-11,1.85e-11,4.68e-11,6.43e-11,9.06e-11,8.9e-10,9.03e-10,9.24e-10
60,0.66,4.9e-11,6.35e-11,1.07e-10,1.01e-11,1.32e-11,1.84e-11,4.62e-11,6.36e-11,8.98e-11,8.84e-10,8.97e-10,9.19e-10
65,0.66,4.87e-11,6.29e-11,1.06e-10,1.01e-11,1.31e-11,1.83e-11,4.57e-11,6.28e-11,8.9e-11,8.78e-10,8.91e-10,9.14e-10
70,0.66,4.83e-11,6.24e-11,1.04e-10,1.01e-11,1.31e-11,1.81e-11,4.51e-11,6.21e-11,8.82e-11,8.72e-10,8.86e-10,9.09e-10
75,0.66,4.79e-11,6.18e-11,1.03e-10,1e-11,1.3e-11,1.8e-11,4.46e-11,6.13e-11,8.76e-11,8.67e-10,8.8e-10,9.03e-10
80,0.66,4.75e-11,6.12e-11,1.02e-10,9.98e-12,1.29e-11,1.79e-11,4.4e-11,6.05e-11,8.69e-11,8.61e-10,8.74e-10,8.98e-10
85,0.66,4.71e-11,6.06e-11,1.01e-10,9.94e-12,1.29e-11,1.77e-11,4.35e-11,5.97e-11,8.63e-11,8.55e-10,8.68e-10,8.93e-10
90,0.66,4.67e-11,6e-11,9.93e-11,9.9e-12,1.28e-11,1.76e-11,4.29e-11,5.9e-11,8.57e-11,8.49e-10,8.63e-10,8.88e-10
95,0.66,4.62e-11,5.94e-11,9.8e-11,9.87e-12,1.27e-11,1.74e-11,4.23e-11,5.82e-11,8.5e-11,8.44e-10,8.57e-10,8.83e-10
100,0.66,4.58e-11,5.88e-11,9.67e-11,9.83e-12,1.27e-11,1.73e-11,4.18e-11,5.73e-11,8.42e-11,8.38e-10,8.51e-10,8.78e-10
105,0.66,4.54e-11,5.82e-11,9.55e-11,9.79e-12,1.26e-11,1.72e-11,4.12e-11,5.65e-11,8.34e-11,8.32e-10,8.46e-10,8.73e-10
110,0.66,4.5e-11,5.76e-11,9.42e-11,9.76e-12,1.26e-11,1.7e-11,4.06e-11,5.57e-11,8.25e-11,8.27e-10,8.4e-10,8.68e-10
115,0.66,4.46e-11,5.7e-11,9.3e-11,9.72e-12,1.25e-11,1.69e-11,4.01e-11,5.48e-11,8.15e-11,8.21e-10,8.35e-10,8.63e-10
120,0.66,4.42e-11,5.64e-11,9.17e-11,9.68e-12,1.24e-11,1.68e-11,3.95e-11,5.4e-11,8.06e-11,8.16e-10,8.29e-10,8.58e-10
125,0.66,4.38e-11,5.58e-11,9.05e-11,9.64e-12,1.24e-11,1.66e-11,3.9e-11,5.31e-11,7.96e-11,8.1e-10,8.23e-10,8.53e-10
