Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
30,0.64,4.192e-11,5.326e-11,8.642e-11,8.636e-12,1.11e-11,1.509e-11,3.849e-11,5.155e-11,7.13e-11,6.456e-10,6.456e-10,6.489e-10
35,0.64,4.158e-11,5.279e-11,8.541e-11,8.606e-12,1.106e-11,1.5e-11,3.799e-11,5.083e-11,7.062e-11,6.436e-10,6.436e-10,6.476e-10
40,0.64,4.122e-11,5.231e-11,8.44e-11,8.576e-12,1.101e-11,1.49e-11,3.748e-11,5.011e-11,6.993e-11,6.415e-10,6.415e-10,6.463e-10
45,0.64,4.087e-11,5.182e-11,8.34e-11,8.546e-12,1.096e-11,1.48e-11,3.697e-11,4.938e-11,6.922e-11,6.394e-10,6.394e-10,6.45e-10
50,0.64,4.051e-11,5.132e-11,8.24e-11,8.517e-12,1.091e-11,1.471e-11,3.646e-11,4.865e-11,6.852e-11,6.373e-10,6.373e-10,6.436e-10
55,0.64,4.016e-11,5.082e-11,8.139e-11,8.487e-12,1.086e-11,1.461e-11,3.595e-11,4.791e-11,6.78e-11,6.351e-10,6.351e-10,6.422e-10
60,0.64,3.98e-11,5.032e-11,8.038e-11,8.458e-12,1.081e-11,1.451e-11,3.545e-11,4.718e-11,6.707e-11,6.329e-10,6.329e-10,6.407e-10
65,0.64,3.944e-11,4.981e-11,7.938e-11,8.428e-12,1.076e-11,1.442e-11,3.496e-11,4.643e-11,6.634e-11,6.307e-10,6.307e-10,6.392e-10
70,0.64,3.908e-11,4.93e-11,7.837e-11,8.398e-12,1.071e-11,1.432e-11,3.448e-11,4.569e-11,6.56e-11,6.285e-10,6.285e-10,6.376e-10
75,0.64,3.872e-11,4.879e-11,7.736e-11,8.369e-12,1.066e-11,1.422e-11,3.401e-11,4.495e-11,6.485e-11,6.262e-10,6.262e-10,6.361e-10
80,0.64,3.836e-11,4.828e-11,7.634e-11,8.338e-12,1.061e-11,1.412e-11,3.354e-11,4.422e-11,6.409e-11,6.24e-10,6.24e-10,6.344e-10
85,0.64,3.8e-11,4.777e-11,7.533e-11,8.309e-12,1.057e-11,1.402e-11,3.309e-11,4.35e-11,6.332e-11,6.217e-10,6.217e-10,6.328e-10
90,0.64,3.764e-11,4.726e-11,7.432e-11,8.279e-12,1.052e-11,1.392e-11,3.265e-11,4.279e-11,6.254e-11,6.194e-10,6.194e-10,6.311e-10
95,0.64,3.729e-11,4.675e-11,7.33e-11,8.249e-12,1.047e-11,1.382e-11,3.221e-11,4.21e-11,6.174e-11,6.171e-10,6.171e-10,6.294e-10
100,0.64,3.693e-11,4.624e-11,7.229e-11,8.219e-12,1.042e-11,1.373e-11,3.178e-11,4.142e-11,6.093e-11,6.147e-10,6.147e-10,6.276e-10
105,0.64,3.658e-11,4.573e-11,7.128e-11,8.19e-12,1.037e-11,1.363e-11,3.136e-11,4.076e-11,6.011e-11,6.124e-10,6.124e-10,6.258e-10
110,0.64,3.623e-11,4.523e-11,7.027e-11,8.161e-12,1.032e-11,1.353e-11,3.095e-11,4.011e-11,5.927e-11,6.099e-10,6.099e-10,6.24e-10
115,0.64,3.588e-11,4.472e-11,6.928e-11,8.131e-12,1.028e-11,1.343e-11,3.054e-11,3.947e-11,5.842e-11,6.075e-10,6.075e-10,6.221e-10
120,0.64,3.553e-11,4.422e-11,6.828e-11,8.102e-12,1.023e-11,1.333e-11,3.014e-11,3.885e-11,5.756e-11,6.05e-10,6.05e-10,6.202e-10
125,0.64,3.519e-11,4.372e-11,6.73e-11,8.074e-12,1.018e-11,1.323e-11,2.975e-11,3.823e-11,5.668e-11,6.025e-10,6.025e-10,6.182e-10
130,0.64,3.485e-11,4.322e-11,6.632e-11,8.045e-12,1.013e-11,1.313e-11,2.936e-11,3.763e-11,5.579e-11,5.999e-10,5.999e-10,6.161e-10
-20,0.66,4.236e-11,5.368e-11,8.826e-11,8.561e-12,1.098e-11,1.491e-11,4.089e-11,5.433e-11,6.932e-11,6.156e-10,6.156e-10,6.101e-10
-15,0.66,4.211e-11,5.333e-11,8.74e-11,8.537e-12,1.094e-11,1.484e-11,4.046e-11,5.374e-11,6.895e-11,6.147e-10,6.147e-10,6.102e-10
-10,0.66,4.186e-11,5.298e-11,8.653e-11,8.513e-12,1.091e-11,1.477e-11,4.003e-11,5.314e-11,6.858e-11,6.137e-10,6.137e-10,6.101e-10
-5,0.66,4.159e-11,5.262e-11,8.566e-11,8.489e-12,1.087e-11,1.47e-11,3.959e-11,5.255e-11,6.823e-11,6.126e-10,6.126e-10,6.099e-10
0,0.66,4.133e-11,5.225e-11,8.479e-11,8.465e-12,1.083e-11,1.462e-11,3.916e-11,5.195e-11,6.789e-11,6.115e-10,6.115e-10,6.097e-10
5,0.66,4.105e-11,5.187e-11,8.391e-11,8.441e-12,1.08e-11,1.455e-11,3.872e-11,5.135e-11,6.755e-11,6.103e-10,6.103e-10,6.094e-10
10,0.66,4.076e-11,5.148e-11,8.303e-11,8.415e-12,1.076e-11,1.447e-11,3.829e-11,5.076e-11,6.721e-11,6.091e-10,6.091e-10,6.09e-10
15,0.66,4.047e-11,5.109e-11,8.215e-11,8.391e-12,1.072e-11,1.439e-11,3.785e-11,5.015e-11,6.684e-11,6.078e-10,6.078e-10,6.086e-10
20,0.66,4.017e-11,5.069e-11,8.127e-11,8.366e-12,1.068e-11,1.432e-11,3.74e-11,4.955e-11,6.639e-11,6.064e-10,6.064e-10,6.08e-10
25,0.66,3.986e-11,5.028e-11,8.039e-11,8.341e-12,1.064e-11,1.424e-11,3.695e-11,4.894e-11,6.59e-11,6.05e-10,6.05e-10,6.074e-10
30,0.66,3.955e-11,4.987e-11,7.951e-11,8.317e-12,1.06e-11,1.416e-11,3.65e-11,4.833e-11,6.537e-11,6.036e-10,6.036e-10,6.068e-10
35,0.66,3.923e-11,4.944e-11,7.863e-11,8.292e-12,1.056e-11,1.408e-11,3.604e-11,4.77e-11,6.481e-11,6.021e-10,6.021e-10,6.06e-10
40,0.66,3.891e-11,4.901e-11,7.774e-11,8.267e-12,1.052e-11,1.4e-11,3.558e-11,4.707e-11,6.423e-11,6.005e-10,6.005e-10,6.052e-10
45,0.66,3.859e-11,4.857e-11,7.685e-11,8.242e-12,1.048e-11,1.391e-11,3.512e-11,4.643e-11,6.363e-11,5.99e-10,5.99e-10,6.044e-10
50,0.66,3.827e-11,4.812e-11,7.597e-11,8.217e-12,1.043e-11,1.383e-11,3.465e-11,4.578e-11,6.303e-11,5.974e-10,5.974e-10,6.035e-10
55,0.66,3.794e-11,4.767e-11,7.508e-11,8.191e-12,1.039e-11,1.375e-11,3.418e-11,4.512e-11,6.241e-11,5.958e-10,5.958e-10,6.026e-10
60,0.66,3.761e-11,4.721e-11,7.419e-11,8.165e-12,1.035e-11,1.367e-11,3.372e-11,4.446e-11,6.179e-11,5.941e-10,5.941e-10,6.016e-10
65,0.66,3.729e-11,4.676e-11,7.329e-11,8.139e-12,1.031e-11,1.358e-11,3.325e-11,4.379e-11,6.115e-11,5.924e-10,5.924e-10,6.006e-10
70,0.66,3.696e-11,4.63e-11,7.239e-11,8.113e-12,1.027e-11,1.35e-11,3.279e-11,4.311e-11,6.051e-11,5.907e-10,5.907e-10,5.995e-10
75,0.66,3.663e-11,4.584e-11,7.149e-11,8.088e-12,1.023e-11,1.341e-11,3.233e-11,4.243e-11,5.986e-11,5.89e-10,5.89e-10,5.984e-10
80,0.66,3.63e-11,4.538e-11,7.059e-11,8.061e-12,1.018e-11,1.333e-11,3.188e-11,4.176e-11,5.919e-11,5.872e-10,5.872e-10,5.973e-10
85,0.66,3.598e-11,4.491e-11,6.968e-11,8.035e-12,1.014e-11,1.324e-11,3.144e-11,4.108e-11,5.851e-11,5.854e-10,5.854e-10,5.961e-10
90,0.66,3.565e-11,4.445e-11,6.877e-11,8.009e-12,1.01e-11,1.316e-11,3.101e-11,4.041e-11,5.783e-11,5.836e-10,5.836e-10,5.948e-10
95,0.66,3.532e-11,4.399e-11,6.787e-11,7.984e-12,1.006e-11,1.307e-11,3.058e-11,3.975e-11,5.713e-11,5.818e-10,5.818e-10,5.936e-10
100,0.66,3.5e-11,4.353e-11,6.696e-11,7.959e-12,1.002e-11,1.298e-11,3.017e-11,3.909e-11,5.642e-11,5.799e-10,5.799e-10,5.923e-10
105,0.66,3.468e-11,4.307e-11,6.606e-11,7.934e-12,9.977e-12,1.29e-11,2.976e-11,3.845e-11,5.57e-11,5.78e-10,5.78e-10,5.909e-10
110,0.66,3.436e-11,4.261e-11,6.516e-11,7.909e-12,9.936e-12,1.281e-11,2.936e-11,3.782e-11,5.496e-11,5.76e-10,5.76e-10,5.895e-10
115,0.66,3.404e-11,4.215e-11,6.427e-11,7.884e-12,9.894e-12,1.273e-11,2.897e-11,3.72e-11,5.421e-11,5.741e-10,5.741e-10,5.881e-10
120,0.66,3.372e-11,4.17e-11,6.338e-11,7.859e-12,9.853e-12,1.264e-11,2.859e-11,3.66e-11,5.346e-11,5.72e-10,5.72e-10,5.866e-10
125,0.66,3.341e-11,4.124e-11,6.25e-11,7.835e-12,9.812e-12,1.255e-11,2.821e-11,3.6e-11,5.269e-11,5.7e-10,5.7e-10,5.85e-10
130,0.66,3.31e-11,4.079e-11,6.162e-11,7.81e-12,9.77e-12,1.247e-11,2.784e-11,3.542e-11,5.191e-11,5.679e-10,5.679e-10,5.834e-10
-20,0.68,4.002e-11,5.033e-11,8.133e-11,8.24e-12,1.048e-11,1.401e-11,3.86e-11,5.073e-11,6.338e-11,5.746e-10,5.746e-10,5.696e-10
-15,0.68,3.98e-11,5.002e-11,8.057e-11,8.221e-12,1.045e-11,1.395e-11,3.821e-11,5.02e-11,6.304e-11,5.741e-10,5.741e-10,5.7e-10
-10,0.68,3.957e-11,4.971e-11,7.98e-11,8.202e-12,1.042e-11,1.389e-11,3.782e-11,4.967e-11,6.27e-11,5.736e-10,5.736e-10,5.703e-10
-5,0.68,3.933e-11,4.938e-11,7.904e-11,8.182e-12,1.039e-11,1.383e-11,3.743e-11,4.914e-11,6.237e-11,5.73e-10,5.73e-10,5.705e-10
0,0.68,3.908e-11,4.905e-11,7.827e-11,8.163e-12,1.036e-11,1.376e-11,3.704e-11,4.861e-11,6.204e-11,5.723e-10,5.723e-10,5.707e-10
5,0.68,3.883e-11,4.871e-11,7.75e-11,8.143e-12,1.033e-11,1.37e-11,3.664e-11,4.808e-11,6.172e-11,5.716e-10,5.716e-10,5.708e-10
10,0.68,3.856e-11,4.837e-11,7.672e-11,8.123e-12,1.029e-11,1.364e-11,3.625e-11,4.755e-11,6.14e-11,5.707e-10,5.707e-10,5.708e-10
15,0.68,3.829e-11,4.801e-11,7.595e-11,8.102e-12,1.026e-11,1.357e-11,3.585e-11,4.701e-11,6.11e-11,5.699e-10,5.699e-10,5.707e-10
20,0.68,3.802e-11,4.765e-11,7.517e-11,8.081e-12,1.023e-11,1.35e-11,3.544e-11,4.647e-11,6.079e-11,5.69e-10,5.69e-10,5.706e-10
25,0.68,3.773e-11,4.728e-11,7.439e-11,8.06e-12,1.019e-11,1.344e-11,3.504e-11,4.593e-11,6.049e-11,5.68e-10,5.68e-10,5.704e-10
30,0.68,3.745e-11,4.691e-11,7.36e-11,8.039e-12,1.016e-11,1.337e-11,3.463e-11,4.538e-11,6.015e-11,5.67e-10,5.67e-10,5.701e-10
