Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
5,0.78,2.477e-11,2.976e-11,4.302e-11,6.12e-12,7.347e-12,9.224e-12,2.212e-11,2.733e-11,3.454e-11,3.387e-10,3.319e-10,3.354e-10
10,0.78,2.459e-11,2.952e-11,4.257e-11,6.116e-12,7.339e-12,9.193e-12,2.186e-11,2.697e-11,3.426e-11,3.394e-10,3.325e-10,3.365e-10
15,0.78,2.441e-11,2.929e-11,4.212e-11,6.112e-12,7.33e-12,9.16e-12,2.16e-11,2.662e-11,3.396e-11,3.399e-10,3.33e-10,3.375e-10
20,0.78,2.423e-11,2.905e-11,4.166e-11,6.108e-12,7.322e-12,9.128e-12,2.134e-11,2.626e-11,3.364e-11,3.405e-10,3.335e-10,3.385e-10
25,0.78,2.404e-11,2.881e-11,4.121e-11,6.102e-12,7.313e-12,9.095e-12,2.108e-11,2.591e-11,3.332e-11,3.41e-10,3.339e-10,3.395e-10
30,0.78,2.386e-11,2.857e-11,4.076e-11,6.098e-12,7.304e-12,9.061e-12,2.082e-11,2.556e-11,3.298e-11,3.415e-10,3.344e-10,3.404e-10
35,0.78,2.368e-11,2.833e-11,4.03e-11,6.093e-12,7.295e-12,9.027e-12,2.057e-11,2.521e-11,3.263e-11,3.419e-10,3.348e-10,3.413e-10
40,0.78,2.35e-11,2.809e-11,3.985e-11,6.088e-12,7.286e-12,8.992e-12,2.031e-11,2.486e-11,3.228e-11,3.423e-10,3.351e-10,3.422e-10
45,0.78,2.332e-11,2.785e-11,3.94e-11,6.083e-12,7.277e-12,8.957e-12,2.006e-11,2.452e-11,3.192e-11,3.427e-10,3.355e-10,3.43e-10
50,0.78,2.314e-11,2.761e-11,3.895e-11,6.078e-12,7.267e-12,8.921e-12,1.981e-11,2.417e-11,3.155e-11,3.431e-10,3.358e-10,3.438e-10
55,0.78,2.296e-11,2.736e-11,3.85e-11,6.073e-12,7.258e-12,8.885e-12,1.956e-11,2.382e-11,3.119e-11,3.434e-10,3.361e-10,3.445e-10
60,0.78,2.279e-11,2.712e-11,3.805e-11,6.069e-12,7.249e-12,8.85e-12,1.932e-11,2.348e-11,3.082e-11,3.437e-10,3.364e-10,3.452e-10
65,0.78,2.261e-11,2.688e-11,3.76e-11,6.063e-12,7.24e-12,8.814e-12,1.907e-11,2.313e-11,3.044e-11,3.44e-10,3.366e-10,3.459e-10
70,0.78,2.243e-11,2.664e-11,3.715e-11,6.06e-12,7.231e-12,8.778e-12,1.883e-11,2.279e-11,3.007e-11,3.442e-10,3.368e-10,3.465e-10
75,0.78,2.226e-11,2.64e-11,3.671e-11,6.055e-12,7.221e-12,8.741e-12,1.858e-11,2.245e-11,2.969e-11,3.445e-10,3.37e-10,3.472e-10
80,0.78,2.209e-11,2.616e-11,3.626e-11,6.05e-12,7.212e-12,8.705e-12,1.834e-11,2.21e-11,2.931e-11,3.447e-10,3.372e-10,3.478e-10
85,0.78,2.192e-11,2.593e-11,3.582e-11,6.046e-12,7.203e-12,8.668e-12,1.81e-11,2.176e-11,2.893e-11,3.448e-10,3.373e-10,3.483e-10
90,0.78,2.175e-11,2.569e-11,3.538e-11,6.042e-12,7.195e-12,8.631e-12,1.786e-11,2.142e-11,2.855e-11,3.45e-10,3.374e-10,3.488e-10
95,0.78,2.158e-11,2.545e-11,3.494e-11,6.037e-12,7.187e-12,8.595e-12,1.763e-11,2.108e-11,2.816e-11,3.451e-10,3.375e-10,3.493e-10
100,0.78,2.141e-11,2.522e-11,3.451e-11,6.034e-12,7.178e-12,8.558e-12,1.739e-11,2.074e-11,2.778e-11,3.452e-10,3.376e-10,3.498e-10
105,0.78,2.124e-11,2.499e-11,3.407e-11,6.029e-12,7.17e-12,8.522e-12,1.716e-11,2.04e-11,2.739e-11,3.453e-10,3.377e-10,3.502e-10
110,0.78,2.108e-11,2.476e-11,3.364e-11,6.025e-12,7.162e-12,8.486e-12,1.692e-11,2.006e-11,2.7e-11,3.453e-10,3.377e-10,3.506e-10
115,0.78,2.091e-11,2.453e-11,3.321e-11,6.02e-12,7.155e-12,8.45e-12,1.67e-11,1.973e-11,2.661e-11,3.453e-10,3.377e-10,3.51e-10
120,0.78,2.076e-11,2.43e-11,3.278e-11,6.018e-12,7.146e-12,8.414e-12,1.647e-11,1.94e-11,2.622e-11,3.453e-10,3.376e-10,3.513e-10
125,0.78,2.06e-11,2.408e-11,3.235e-11,6.013e-12,7.14e-12,8.378e-12,1.624e-11,1.907e-11,2.582e-11,3.453e-10,3.376e-10,3.516e-10
130,0.78,2.044e-11,2.385e-11,3.193e-11,6.01e-12,7.133e-12,8.342e-12,1.602e-11,1.875e-11,2.543e-11,3.452e-10,3.375e-10,3.519e-10
-20,0.8,2.477e-11,2.975e-11,4.32e-11,6.061e-12,7.252e-12,9.16e-12,2.258e-11,2.785e-11,3.394e-11,3.235e-10,3.173e-10,3.179e-10
-15,0.8,2.461e-11,2.955e-11,4.279e-11,6.059e-12,7.247e-12,9.132e-12,2.232e-11,2.753e-11,3.374e-11,3.243e-10,3.18e-10,3.192e-10
-10,0.8,2.445e-11,2.933e-11,4.238e-11,6.056e-12,7.242e-12,9.104e-12,2.207e-11,2.719e-11,3.353e-11,3.251e-10,3.187e-10,3.205e-10
-5,0.8,2.428e-11,2.912e-11,4.196e-11,6.054e-12,7.236e-12,9.076e-12,2.181e-11,2.686e-11,3.332e-11,3.258e-10,3.194e-10,3.217e-10
0,0.8,2.411e-11,2.89e-11,4.154e-11,6.05e-12,7.23e-12,9.048e-12,2.156e-11,2.652e-11,3.311e-11,3.265e-10,3.201e-10,3.229e-10
